"name","external_donor_name","donor_id","donor_name"
"","499294",1092672265,"Snap25-IRES2-Cre;Ai14-499294"
"","499307",1092672256,"Snap25-IRES2-Cre;Ai14-499307"
"","570071",1092672246,"Snap25-IRES2-Cre;Ai14-570071"
"","575670",1092672237,"Snap25-IRES2-Cre;Ai14-575670"
"","572203",1092671813,"Vip-IRES-Cre;Ai148-572203"
"","564456",1092648891,"Pvalb-IRES-Cre-564456"
"","570977",1092613762,"Snap25-IRES2-Cre;Slc17a7-IRES2-FlpO-neo-570977-Ai211-hyg"
"","570976",1092610635,"Snap25-IRES2-Cre;Slc17a7-IRES2-FlpO-neo-570976-Ai211-hyg"
"","565666",1092604325,"Ucma-IRES2-FlpO-565666"
"","565665",1092604318,"Ucma-IRES2-FlpO-565665"
"","573567",1092488556,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-573567"
"","573563",1092488544,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-573563"
"","573562",1092488531,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-573562"
"","573560",1092488517,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-573560"
"","573262",1092488505,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-573262"
"","577041",1092425792,"Snap25-IRES2-Cre;Ai14-577041"
"","571901",1092269946,"Rorb-IRES2-Cre-neo;Ai14-571901"
"","571899",1092269936,"Rorb-IRES2-Cre-neo;Ai14-571899"
"","572055",1092269925,"Sst-IRES-Cre;Ai14-572055"
"","572054",1092269914,"Sst-IRES-Cre;Ai14-572054"
"","571561",1092269903,"Slc17a8-iCre;Ai14-571561"
"","571747",1092269893,"Slc17a6-IRES-Cre;Ai14-571747"
"","571416",1092269883,"Slc17a6-IRES-Cre;Ai14-571416"
"","571205",1092269871,"Ctgf-T2A-dgCre;Ai14-571205"
"","557568",1092231928,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-557568"
"","557566",1092231814,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-557566"
"","557298",1092231702,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-557298"
"","554391",1092231562,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-554391"
"","551178",1092231470,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-551178"
"","547661",1092231364,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai224-hyg-547661"
"","569277",1092225111,"C57BL6J-569277"
"","564075",1092125071,"C57BL6J-564075"
"","567750",1092056059,"Vip-IRES-Cre;Ai14-567750"
"","565668",1092055741,"Ucma-IRES2-FlpO-565668"
"","570629",1092010562,"Ntrk1-IRES-Cre-570629"
"","570632",1092010555,"Ntrk1-IRES-Cre-570632"
"","490829",1092004644,"CX3CR1-GFP-490829"
"","569504",1092004628,"Snap25-IRES2-Cre;Ai14-569504"
"","577494",1092004492,"Snap25-IRES2-Cre;Ai14-577494"
"","568026",1091838585,"C57BL6J-568026"
"","569921",1091838579,"C57BL6J-569921"
"","570302",1091837607,"Sst-IRES-Cre;Ai32-570302"
"","572053",1091773788,"Sst-IRES-Cre;Ai14-572053"
"","571036",1091750130,"Ai193(TICL-EGFP-ICF-tdT)-hyg-571036"
"","571033",1091750059,"Ai193(TICL-EGFP-ICF-tdT)-hyg-571033"
"","570758",1091749917,"Ai193(TICL-EGFP-ICF-tdT)-hyg-570758"
"","570756",1091749319,"Ai193(TICL-EGFP-ICF-tdT)-hyg-570756"
"","570631",1091296992,"Ntrk1-IRES-Cre-570631"
"","570630",1091296986,"Ntrk1-IRES-Cre-570630"
"","570299",1091281239,"Sst-IRES-Cre;Ai32-570299"
"","570474",1091280593,"Sst-IRES-Cre;Ai32-570474"
"","570301",1091250203,"Sst-IRES-Cre;Ai32-570301"
"","571334",1091246235,"Vipr2-IRES2-Cre-neo;Ai14-571334"
"","570949",1091244047,"Sst-IRES-Cre;Ai148-570949"
"","565292",1091203995,"Ai14-Homo-565292"
"","563371",1091203904,"Chrna2-Cre_OE25-563371"
"","564837",1091186290,"Sst-IRES-Cre-564837"
"","571838",1091185737,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-571838"
"","572068",1091185726,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572068"
"","572067",1091185717,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572067"
"","572490",1091185705,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572490"
"","572489",1091185692,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572489"
"","571843",1091185680,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-571843"
"","571204",1091024857,"Ctgf-T2A-dgCre;Ai14-571204"
"","571203",1091024846,"Ctgf-T2A-dgCre;Ai14-571203"
"","570886",1091024837,"Slc32a1-IRES-Cre;Ai14-570886"
"","570210",1091024827,"Slc32a1-IRES-Cre;Ai14-570210"
"","570209",1091024818,"Slc32a1-IRES-Cre;Ai14-570209"
"","570373",1091024808,"Glt25d2-Cre_NF107;Ai14-570373"
"","570372",1091024798,"Glt25d2-Cre_NF107;Ai14-570372"
"","570371",1091024788,"Glt25d2-Cre_NF107;Ai14-570371"
"","576683",1091010159,"Snap25-IRES2-Cre;Ai14-576683"
"","568464",1091010150,"Snap25-IRES2-Cre;Ai14-568464"
"","570671",1090836481,"C57BL6J-570671"
"","570670",1090836477,"C57BL6J-570670"
"","570669",1090836474,"C57BL6J-570669"
"","571520",1090574186,"C57BL6J-571520"
"","569815",1090503677,"Syt6-Cre_KI148-569815"
"","564074",1090349263,"C57BL6J-564074"
"","563146",1090334376,"Vip-IRES-Cre;Ai14-563146"
"","567751",1090334366,"Vip-IRES-Cre;Ai14-567751"
"","569156",1089868527,"Vip-IRES-Cre;Ai32-569156"
"","569154",1089792457,"Vip-IRES-Cre;Ai32-569154"
"","570946",1089791410,"Sst-IRES-Cre;Ai148-570946"
"","572069",1089762444,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572069"
"","572066",1089762432,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572066"
"","572064",1089762420,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572064"
"","572063",1089762408,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-572063"
"","571841",1089762398,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-571841"
"","571842",1089762389,"Vip-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-571842"
