"cell_specimen_id","x","y","z","normalized_depth","soma_depth_um"
601506507,"8596","580.77937069933","7111.70152254001","0.361014513523001","361.528839042679"
601790961,"8665","744.78234875002","7156.1708838844","0.621829351967728","570.537166307662"
601803754,"8704","597.273580808602","3715.3990092687","0.164239963248684","170.47522368226"
601808698,"8704","934.881266163148","3635.08174543065","0.483030289156805","505.832389008689"
601810307,"8704","811.713362713872","3320.2211110298","0.295656295036952","311.191580918368"
601811091,"9570.73459176964","1596.19744551292","8072.53422443553","0.766594576134962","750.171964532811"
602231708,"8368","1192.54153238952","3217.7358719035","0.589005050716384","526.344927202723"
602535278,"9103","937.810706033099","3366.8096691846","0.397545508012723","344.556168680477"
604626221,"8688","1087.73392582954","3128.01106206896","0.459114590371144","458.047116289083"
604646725,"8688","633.561114288909","3896.61609231639","0.304442899765556","277.355422903216"
605060256,"8466.29772245307","1393.71293009793","9081.17865781714","0.416261742802756","395.122082288172"
605160536,"8691.35516957089","704.628058722125","3473.32279880909","0.22214742213529","213.278736555882"
606098116,"8910.20637964088","787.565744942701","3389.39887424801","0.281891345108085","248.465632340203"
606271263,"7998","793.169243253154","8405.79155388452","0.179449890059475","190.567952735392"
606308411,"7998","451.265185569941","7242.88566549033","0.171680016575818","170.984502763527"
611497391,"8458","550.715075207214","3676.49257689341","0.225690512105545","234.409425738024"
612271508,"9157","743.417901215477","3490.17984819799","0.255892218078165","291.228624525799"
612893105,"8981","1226.47172079799","2327.64312282781","0.143796377209451","146.928900443863"
613432876,"9181","886.342743372341","3042.1848064713","0.171291174746034","175.142264787607"
614728680,"8757","1043.45652278387","7657.11087064011","0.604392273663461","555.785667517127"
623326230,"8869","936.586467431352","3223.86244236547","0.292879196389158","331.621071097717"
623326953,"8869","890.178935598452","2930.63616577775","",""
623415197,"8692","577.646750275711","3823.05262104762","0.190213546017605","188.422849628559"
623434306,"8692","850.70151683784","3088.53071048588","0.231416533107606","247.718206286645"
623813235,"8434","1097.8765391132","3437.0918291377","",""
623891125,"8644","634.593951140753","3347.4808949296","",""
623945953,"8551","582.190514633718","7842.52560309513","",""
623989470,"8551","1204.30121383397","7714.6055933936","",""
626069976,"8059","686.933859657893","3915.05457869012","",""
626082009,"8059","951.222803161665","4179.67892105599","",""
626103966,"8059","585.456435037086","4292.51953461071","",""
626153003,"8964","1519.32007322433","2821.84152856239","0.684141822201589","766.621242325667"
627867607,"8654","1466.82505854943","2912.88179928976","",""
627876797,"9216","1083.96385877589","8246.66799179773","",""
627881581,"9216","1362.49071901558","8566.07542409128","0.416706236815262","454.010885689003"
627883518,"9216","1836.51066084699","8966.09171738499","",""
636854912,"8648.80617493817","1154.30671178216","3343.96581996119","",""
636856236,"8709.82764189688","657.326745327233","4251.56796464068","",""
636946168,"8297","1405.48610708893","3088.30074238147","",""
637321656,"9268","1475.86899965155","2244.90524054003","",""
637327988,"8987","668.749786001053","7819.35988474858","",""
637329085,"9268","1072.60392607376","2795.01661984279","",""
637362685,"8812","1008.15846536614","3032.162109136","",""
637365495,"8987","983.667176624778","8598.23259547424","",""
637379909,"8825","785.854647701654","7317.55043993452","",""
637381329,"8825","708.698825977876","8320.95571188188","",""
637823753,"9032","1320.8931514815","2868.00190381382","",""
637824915,"9032","1117.9436459618","3219.54266450663","",""
637824948,"8642","819.234184089514","8256.21945385818","",""
637833144,"9032","622.75989949222","3311.5929290701","",""
637839160,"9032","1059.69501670403","3654.89520889997","",""
637846989,"8642","955.948484740796","8734.42359512532","0.136937559650357","151.892861140385"
637853303,"8642","1196.17210848315","8949.69699773145","",""
637866154,"7957","1187.48621881227","2846.28218620104","",""
637879731,"8573","570.063708935741","7765.22261563437","",""
637886938,"8573","638.08531065009","7942.75327110018","",""
637919747,"8546","819.770255031402","3760.52882440923","",""
638176297,"8735","1176.8432190713","8206.52641239067","",""
638205354,"8140","424.644867558914","7667.80985273926","",""
638212024,"8140","564.827902223216","7910.63260939421","0.114190204619789","120.291867647829"
638225388,"8140","743.608657835282","8286.8514844965","",""
638246905,"8343.83711456412","1472.66745513245","1912.82631442622","",""
638356222,"8550","1214.78255214548","3414.22337532772","",""
638356259,"8513.95362651413","1327.5568688419","2495.76116385284","",""
638366507,"8574","1045.40846521693","3451.66330243804","",""
638775149,"8097","547.423343096723","3644.76402481408","",""
638782470,"8093","1044.1109493574","7910.53055887216","",""
639002031,"8164","1176.65772734477","2774.85692613854","",""
