donor_id,donor_name,biological_sex,age,full_genotype
419907,Pvalb-IRES-Cre;Ai14-419907,M,P52,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418815,Slc32a1-IRES-Cre;Ai14-418815,M,P58,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
419797,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-419797,M,P53,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
419291,Gad2-IRES-Cre;Ai14-419291,F,P56,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
419911,Pvalb-IRES-Cre;Ai14-419911,F,P54,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418816,Slc32a1-IRES-Cre;Ai14-418816,M,P60,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
419991,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-419991,F,P54,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
422598,Slc32a1-IRES-Cre;Ai14-422598,F,P60,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
421489,Sst-IRES-Cre;Ai14-421489,F,P50,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
420772,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-420772,M,P53,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
420776,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-420776,F,P53,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
421030,Nos1-CreERT2;Ai14-421030,M,P52,Nos1-CreERT2/wt;Ai14(RCL-tdT)/wt
421031,Nos1-CreERT2;Ai14-421031,M,P53,Nos1-CreERT2/wt;Ai14(RCL-tdT)/wt
420778,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-420778,F,P54,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
421493,Sst-IRES-Cre;Ai14-421493,F,P53,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
421368,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-421368,F,P54,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
421750,Sst-IRES-Cre;Ai14-421750,M,P54,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422365,Pvalb-IRES-Cre;Ai14-422365,M,P51,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
421976,Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-421976,M,P53,Pvalb-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
422072,Sst-IRES-Cre;Ai14-422072,F,P53,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
421751,Sst-IRES-Cre;Ai14-421751,M,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422067,Sst-IRES-Cre;Ai14-422067,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422368,Pvalb-IRES-Cre;Ai14-422368,F,P54,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422075,Sst-IRES-Cre;Ai14-422075,F,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422069,Sst-IRES-Cre;Ai14-422069,F,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422068,Sst-IRES-Cre;Ai14-422068,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422369,Pvalb-IRES-Cre;Ai14-422369,F,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
422070,Sst-IRES-Cre;Ai14-422070,F,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
426641,Sst-IRES-Cre;Ai14-426641,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
423844,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-423844,M,P56,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
424614,Vip-IRES-Cre;Ai14-424614,M,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
426642,Sst-IRES-Cre;Ai14-426642,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
424615,Vip-IRES-Cre;Ai14-424615,M,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
424963,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-424963,M,P54,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
424091,Vip-IRES-Cre;Ai14-424091,F,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
426645,Sst-IRES-Cre;Ai14-426645,F,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
424092,Vip-IRES-Cre;Ai14-424092,F,P59,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
425123,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-425123,M,P54,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
424616,Vip-IRES-Cre;Ai14-424616,M,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
425128,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-425128,F,P55,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
424966,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-424966,F,P57,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
424619,Vip-IRES-Cre;Ai14-424619,F,P58,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
425899,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-425899,M,P60,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
426687,Pvalb-IRES-Cre;Ai14-426687,M,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
426167,Sst-IRES-Cre;Ai14-426167,M,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
425903,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-425903,M,P61,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
426688,Pvalb-IRES-Cre;Ai14-426688,M,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
426169,Sst-IRES-Cre;Ai14-426169,M,P61,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
427597,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-427597,M,P53,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
427894,Sst-IRES-Cre;Ai14-427894,M,P52,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
427600,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-427600,M,P54,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
427056,Vip-IRES-Cre;Ai14-427056,F,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429524,Gad2-IRES-Cre;Ai14-429524,M,P54,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429752,Sst-IRES-Cre;Ai14-429752,M,P53,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
430206,Htr3a-Cre_NO152;Ai14-430206,M,P51,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
429748,Sst-IRES-Cre;Ai14-429748,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429754,Sst-IRES-Cre;Ai14-429754,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429750,Sst-IRES-Cre;Ai14-429750,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429756,Sst-IRES-Cre;Ai14-429756,F,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
429613,Chrna2-Cre_OE25;Pvalb-T2A-FlpO;Ai65-429613,F,P57,Chrna2-Cre_OE25/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
431133,Vip-IRES-Cre;Ai14-431133,M,P53,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
430947,Ndnf-IRES2-dgCre;Ai14-430947,M,P54,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt
431562,Htr3a-Cre_NO152;Ai14-431562,M,P50,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
431135,Vip-IRES-Cre;Ai14-431135,M,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
432548,Sncg-IRES2-FlpO-neo;Ai65F-432548,F,P49,Sncg-IRES2-FlpO-neo/wt;Ai65F/wt
429815,Sst-IRES-Cre;Ai167-429815,F,P62,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
433538,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-433538,M,P48,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
433542,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-433542,M,P48,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
432052,Sst-IRES-Cre;Ai167-432052,F,P53,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
433569,Vip-IRES-Cre;Ai14-433569,M,P58,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434707,Sst-IRES-Cre;Ai167-434707,M,P51,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
434706,Sst-IRES-Cre;Ai167-434706,M,P51,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
434645,Sst-IRES-Cre;Ai14-434645,M,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434653,Pvalb-IRES-Cre;Ai14-434653,M,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434336,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-434336,M,P55,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
434644,Sst-IRES-Cre;Ai14-434644,M,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434646,Sst-IRES-Cre;Ai14-434646,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
433574,Vip-IRES-Cre;Ai14-433574,F,P62,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434034,Gad2-IRES-Cre;Ai14-434034,F,P61,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434647,Sst-IRES-Cre;Ai14-434647,F,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
435635,Vip-IRES-Cre;Ai14-435635,M,P52,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434648,Sst-IRES-Cre;Ai14-434648,F,P61,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
435566,Sst-IRES-Cre;Ai14-435566,M,P55,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434760,Pvalb-IRES-Cre;Ai14-434760,F,P59,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
435637,Vip-IRES-Cre;Ai14-435637,F,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
435570,Sst-IRES-Cre;Ai14-435570,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
436143,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-436143,F,P56,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
436293,Pvalb-IRES-Cre;Ai14-436293,M,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
436102,Sst-IRES-Cre;Ai14-436102,M,P56,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
437007,Sst-IRES-Cre;Ai14-437007,M,P54,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
436295,Pvalb-IRES-Cre;Ai14-436295,M,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
436104,Sst-IRES-Cre;Ai14-436104,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
437074,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-437074,M,P53,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
436296,Pvalb-IRES-Cre;Ai14-436296,F,P58,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
434588,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-434588,F,P75,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
436174,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-436174,M,P58,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
436148,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-436148,F,P60,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
437077,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-437077,M,P56,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
437116,Vip-IRES-Cre;Ai14-437116,M,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
437762,Vip-IRES-Cre;Ai14-437762,M,P59,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
437559,Slc32a1-IRES-Cre;Ai14-437559,F,P60,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
437683,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-437683,M,P60,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439424,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-439424,M,P54,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439425,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-439425,M,P56,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439428,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-439428,F,P56,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
438714,Gad2-IRES-Cre;Ai14-438714,F,P61,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
439426,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-439426,M,P57,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439904,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-439904,M,P55,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439873,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-439873-Ai65,M,P55,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
439541,Sst-IRES-Cre;Ai167-439541,F,P57,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
439427,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-439427,F,P58,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
439925,Sst-IRES-Cre;Ai14-439925,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
440449,Pvalb-IRES-Cre;Ai14-440449,M,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
441787,Sst-IRES-Cre;Ai167-441787,M,P51,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
440450,Pvalb-IRES-Cre;Ai14-440450,M,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
441789,Sst-IRES-Cre;Ai167-441789,F,P53,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
440451,Pvalb-IRES-Cre;Ai14-440451,M,P59,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
440917,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-440917,F,P58,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
440452,Pvalb-IRES-Cre;Ai14-440452,M,P60,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
440916,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-440916,M,P62,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
442794,Ndnf-IRES2-dgCre;Ai14-442794,M,P53,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt
441829,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-441829,F,P58,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
442767,Pvalb-IRES-Cre;Ai14-442767,M,P53,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
442297,Glt25d2-Cre_NF107;Ai14-442297,M,P57,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt
442768,Pvalb-IRES-Cre;Ai14-442768,M,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
442769,Pvalb-IRES-Cre;Ai14-442769,F,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
442796,Ndnf-IRES2-dgCre;Ai14-442796,F,P56,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt
442770,Pvalb-IRES-Cre;Ai14-442770,F,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
442797,Ndnf-IRES2-dgCre;Ai14-442797,F,P56,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt
442606,Htr3a-Cre_NO152;Ai14-442606,F,P60,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
442954,Scnn1a-Tg1-Cre;Ai14-442954,M,P57,Scnn1a-Tg1-Cre/wt;Ai14(RCL-tdT)/wt
442765,Pvalb-IRES-Cre;Ai14-442765,M,P60,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
443337,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-443337,M,P56,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
444161,Gad2-IRES-Cre;Ai14-444161,M,P53,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
443338,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-443338,M,P58,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
445308,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-445308,F,P59,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
442360,Ai65F-Het-442360,F,P65,Ai65F/wt
444912,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-444912,M,P55,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445711,Htr3a-Cre_NO152;Ai14-445711,M,P52,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
445149,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-445149,M,P54,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
444913,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-444913,M,P56,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445680,Vip-IRES-Cre;Ai14-445680,M,P53,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
445151,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-445151,F,P55,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445517,Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-445517,M,P55,Pvalb-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445712,Htr3a-Cre_NO152;Ai14-445712,M,P55,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
445518,Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-445518,M,P56,Pvalb-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445683,Vip-IRES-Cre;Ai14-445683,M,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
444843,Gpr139-IRES2-FlpO-WPRE-neo;Ai65F-444843,F,P59,Gpr139-IRES2-FlpO-WPRE-neo/wt;Ai65F/Ai65F
445685,Vip-IRES-Cre;Ai14-445685,F,P59,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
445996,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-445996,F,P58,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
445805,Pvalb-IRES-Cre;Ai14-445805,F,P59,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
446681,Htr3a-Cre_NO152;Ai14-446681,M,P58,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
447290,Sst-IRES-Cre;Ai14-447290,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
446294,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-446294,M,P60,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
448829,Pvalb-IRES-Cre;Ai14-448829,M,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
448130,Calb1-IRES2-Cre-neo;Ai14-448130,M,P59,Calb1-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt
448414,Vip-IRES-Cre;Ai14-448414,M,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
448830,Pvalb-IRES-Cre;Ai14-448830,F,P56,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
448132,Calb1-IRES2-Cre-neo;Ai14-448132,F,P60,Calb1-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt
449330,Sst-IRES-Cre;Ai14-449330,M,P53,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
448831,Pvalb-IRES-Cre;Ai14-448831,F,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
448133,Calb1-IRES2-Cre-neo;Ai14-448133,M,P61,Calb1-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt
449335,Sst-IRES-Cre;Ai14-449335,F,P54,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
449585,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-449585,M,P56,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
449977,Sst-IRES-Cre;Ai14-449977,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
449853,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-449853,M,P55,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
449978,Sst-IRES-Cre;Ai14-449978,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
449854,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-449854,M,P56,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
449979,Sst-IRES-Cre;Ai14-449979,M,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
449860,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-449860,F,P57,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
450876,Htr3a-Cre_NO152;Ai14-450876,F,P54,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
451336,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-451336,M,P56,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
451764,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451764,M,P54,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
451765,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451765,M,P55,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
451767,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451767,M,P55,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
452641,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-452641,M,P54,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
451768,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768,F,P57,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
452729,Pvalb-IRES-Cre;Ai14-452729,M,P53,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
451770,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451770,F,P58,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
452643,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-452643,F,P55,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
452731,Pvalb-IRES-Cre;Ai14-452731,M,P54,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
453251,Vip-IRES-Cre;Ai14-453251,F,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
452866,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-452866,F,P56,Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
452732,Pvalb-IRES-Cre;Ai14-452732,F,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
454282,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-454282,F,P52,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
453368,Vip-IRES-Cre;Ai14-453368,M,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
454284,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-454284,F,P52,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
452733,Pvalb-IRES-Cre;Ai14-452733,F,P58,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
453372,Vip-IRES-Cre;Ai14-453372,F,P159,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
