donor_id,donor_name,biological_sex,age,full_genotype
406389,Gad2-IRES-Cre;Ai14-406389,F,P56,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407133,Htr3a-Cre_NO152;Ai14-407133,F,P52,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
406386,Gad2-IRES-Cre;Ai14-406386,M,P57,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
406695,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-406695,F,P54,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
407698,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-407698,F,P52,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
407228,Vip-IRES-Cre;Ai14-407228,M,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407477,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-407477,M,P53,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
407562,Htr3a-Cre_NO152;Ai14-407562,F,P53,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
407231,Vip-IRES-Cre;Ai14-407231,F,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407649,Vip-IRES-Cre;Ai14-407649,M,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407232,Vip-IRES-Cre;Ai14-407232,F,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407481,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-407481,F,P55,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
407653,Vip-IRES-Cre;Ai14-407653,F,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407654,Vip-IRES-Cre;Ai14-407654,F,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
409272,Vip-IRES-Cre;Ai14-409272,F,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407646,Vip-IRES-Cre;Ai14-407646,M,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407629,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-407629,F,P57,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
409269,Vip-IRES-Cre;Ai14-409269,F,P57,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
408345,Chat-IRES-Cre-neo;Ai14-408345,F,P53,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt
408755,Oxtr-T2A-Cre;Ai14-408755,M,P55,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
407235,Vip-IRES-Cre;Ai14-407235,F,P62,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
407479,Chrna2-Cre_OE25;Vip-IRES-FlpO;Ai65-407479,M,P60,Chrna2-Cre_OE25/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408887,Oxtr-T2A-Cre;Ai14-408887,M,P54,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
408415,Sst-IRES-Cre;Ai14-408415,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
408759,Oxtr-T2A-Cre;Ai14-408759,F,P56,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
407830,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-407830,M,P60,Npr3-IRES2-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408893,Oxtr-T2A-Cre;Ai14-408893,F,P55,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
408417,Sst-IRES-Cre;Ai14-408417,M,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
409345,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-409345,M,P53,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408889,Oxtr-T2A-Cre;Ai14-408889,M,P56,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
408760,Oxtr-T2A-Cre;Ai14-408760,F,P57,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
408419,Sst-IRES-Cre;Ai14-408419,M,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
408761,Oxtr-T2A-Cre;Ai14-408761,F,P58,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
408890,Oxtr-T2A-Cre;Ai14-408890,M,P57,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
409347,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-409347,M,P54,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408421,Sst-IRES-Cre;Ai14-408421,F,P60,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
408892,Oxtr-T2A-Cre;Ai14-408892,F,P58,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
409200,Ndnf-IRES2-dgCre;Ai14-409200,F,P57,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt
408888,Oxtr-T2A-Cre;Ai14-408888,M,P58,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
409698,Glt25d2-Cre_NF107;Ai14-409698,M,P56,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt
410065,Nkx2-1-CreERT2;Ai14-410065,M,P54,Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt
410508,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-410508-Ai65,F,P52,Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
408346,Chat-IRES-Cre-neo;Ai14-408346,F,P63,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt
409679,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-409679,M,P57,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408894,Oxtr-T2A-Cre;Ai14-408894,F,P62,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
410669,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-410669,F,P52,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt
409684,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-409684,F,P58,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
408895,Oxtr-T2A-Cre;Ai14-408895,F,P63,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt
410815,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-410815,M,P52,Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
411627,Nos1-CreERT2;Ai14-411627,M,P48,Nos1-CreERT2/wt;Ai14(RCL-tdT)/wt
410166,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-410166,M,P56,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
409821,Pvalb-IRES-Cre;Ai14-409821,M,P59,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
410169,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-410169,M,P57,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
409822,Pvalb-IRES-Cre;Ai14-409822,M,P60,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
411241,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-411241,F,P57,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411117,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-411117,M,P58,Npr3-IRES2-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411027,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-411027,M,P58,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411293,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-411293,F,P58,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
411498,Htr3a-Cre_NO152;Ai14-411498,F,P57,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt
411118,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-411118,M,P59,Npr3-IRES2-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411031,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-411031,F,P59,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411962,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-411962,M,P55,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
411033,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-411033,F,P60,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
